spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_inc_1_material,layer_3_inc_1_shape,layer_3_inc_1_fraction,layer_3_matrix_fraction
36,474.74804940471745,0.08508924485125859,0.06739913034613607,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,475.1759662172984,0.08578181818181818,0.06740235421712852,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,475.60387230312415,0.08495511669658887,0.06740859674454498,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,476.03176766219474,0.08355239786856128,0.06741476176111093,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,476.45965229451014,0.0834250764525994,0.06742428493920377,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,476.88752620007034,0.0833477135461605,0.06743498050095477,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,477.31538937887535,0.0826973965002134,0.06744774711073291,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,477.74324183092523,0.08344449134655973,0.06746420636629821,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,478.17108355621986,0.08398826979472142,0.06748057979026338,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,478.59891455475935,0.08370772442588727,0.0675039869764103,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,479.02673482654365,0.08269847799259565,0.06752735206403675,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,479.45454437157275,0.08195678760701183,0.06755587048023672,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,479.88234318984667,0.08035369774919615,0.06758746019660732,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,480.31013128136544,0.07955431754874652,0.06762106409426417,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,480.737908646129,0.08022038567493114,0.06766076366522347,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,481.16567528413736,0.08072072072072073,0.06770036982018104,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,481.59343119539056,0.08174386920980928,0.0677459027805422,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,482.0211763798886,0.08276183087664858,0.067792131640805,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,482.4489108376314,0.08317901234567901,0.06784134743370909,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
