350	1.712688085	5.13E-06		
371.5	1.704451003	8.79E-07		
393	1.697853963	2.34E-07		
414.5	1.692459757	9.69E-08		
436	1.687974752	6.54E-08		
457.5	1.684193515	5.06E-08		
479	1.680967631	3.93E-08		
500.5	1.678187062	3.04E-08		
522	1.675768447	2.23E-08		
543.5	1.673647483	1.75E-08		
565	1.671773789	1.81E-08		
586.5	1.670107353	1.85E-08		
608	1.668616017	1.80E-08		
629.5	1.667273661	1.83E-08		
651	1.666058866	2.07E-08		
672.5	1.664953919	1.93E-08		
694	1.663944054	1.39E-08		
715.5	1.663016877	1.34E-08		
737	1.662161916	1.35E-08		
758.5	1.661370267	1.36E-08		
780	1.660634321	1.38E-08		
801.5	1.659947539	1.41E-08		
823	1.659304275	1.44E-08		
844.5	1.658699632	1.47E-08		
866	1.658129345	1.51E-08		
887.5	1.657589684	1.55E-08		
909	1.657077375	1.60E-08		
930.5	1.656589534	1.65E-08		
952	1.656123613	1.71E-08		
973.5	1.65567735	1.76E-08		
995	1.655248735	1.83E-08		
1017	1.654826552	1.89E-08		
1038	1.654437467	1.96E-08		
1060	1.654042944	2.03E-08		
1081	1.653677596	2.11E-08		
1103	1.653305429	2.23E-08		
1124	1.652959256	2.37E-08		
1146	1.652605126	2.54E-08		
1167	1.652274397	2.73E-08		
1189	1.65193476	2.96E-08		
1210	1.651616398	3.21E-08		
1232	1.651288317	3.49E-08		
1253	1.650979763	3.79E-08		
1275	1.650660786	4.12E-08		
1296	1.650359897	4.47E-08		
1318	1.650047962	4.86E-08		
1339	1.649752928	5.25E-08		
1361	1.649446291	5.69E-08		
1382	1.649155575	6.13E-08		
1404	1.648852746	6.61E-08		
1425	1.648565032	7.10E-08		
1447	1.648264735	7.63E-08		
1468	1.647978893	8.16E-08		
1490	1.647680024	8.73E-08		
1511	1.647395073	9.30E-08		
1533	1.647096675	9.93E-08		
1554	1.64681176	1.06E-07		
1576	1.646512997	1.14E-07		
1597	1.64622737	1.24E-07		
1619	1.645927505	1.35E-07		
1640	1.645640507	1.47E-07		
1662	1.645338889	1.61E-07		
1683	1.645049935	1.75E-07		
1705	1.644745987	1.92E-07		
1726	1.644454555	2.10E-07		
1748	1.64414776	2.29E-07		
1769	1.643853382	2.50E-07		
1791	1.643543275	2.73E-07		
1812	1.64324553	2.96E-07		
1834	1.642931691	3.22E-07		
1855	1.642630196	3.49E-07		
1877	1.642312242	3.78E-07		
1898	1.642006649	4.08E-07		
1920	1.64168423	4.41E-07		
1941	1.641374219	4.74E-07		
1963	1.641047013	5.11E-07		
1984	1.640732289	5.50E-07		
2006	1.6404	6.06E-07		
2027	1.640080288	6.73E-07		
2049	1.639742639	7.57E-07		
2070	1.639417685	8.51E-07		
2092	1.639074415	9.62E-07		
2113	1.638743979	1.08E-06		
2135	1.638394847	1.22E-06		
2156	1.638058702	1.36E-06		
2178	1.637703476	1.52E-06		
2199	1.63736141	1.68E-06		
2221	1.636999871	1.86E-06		
2242	1.636651678	2.05E-06		
2264	1.636283618	2.25E-06		
2285	1.635929102	2.45E-06		
2307	1.635554318	2.67E-06		
2328	1.635193292	2.89E-06		
2350	1.634811591	3.17E-06		
2371	1.634443871	3.50E-06		
2393	1.634055065	3.90E-06		
2414	1.633680474	4.33E-06		
2436	1.633284379	4.82E-06		
2457	1.632902745	5.31E-06		
2479	1.632499181	5.84E-06		
2500	1.632110333	6.35E-06		
